WELL_PERMIT_NUM	OPERATOR	COUNTY	MUNICIPALITY	LATITUDE	LONGITUDE	START_DATE	PROD_PERIOD	PROD_PERIOD_MAX	OIL_BBL_MODEL	GAS_MCF_MODEL	GAS_MCF_MODEL_CUMSUM	OIL_BBL_MODEL_CUMSUM	PROD_MCFE_MODEL_ZERO	PRODUCTION_DATE_MODEL	PROD_MCFE	PROD_MCFE_MODEL	GAS_MCF_MODEL_NA	GAS_MCF_MODEL_ZERO	OIL_BBL_MODEL_ZERO	DATE_MODEL	PROD_MCFE_MODEL_NA	
081-20516	ANADARKO E&P ONSHORE LLC	LYCOMING	LYCOMING	41.309886	-77.116608	2011-12-01	84	0					0	2018-12-01		0		0	0	2018-12-01		
081-20516	ANADARKO E&P ONSHORE LLC	LYCOMING	LYCOMING	41.309886	-77.116608	2011-12-01	96	0					0	2019-12-01		0		0	0	2019-12-01		
081-21265	ANADARKO E&P ONSHORE LLC	LYCOMING	MIFFLIN	41.338206	-77.216494	2015-10-01	14	0					0	2016-12-01		0		0	0	2016-12-01		
081-21265	ANADARKO E&P ONSHORE LLC	LYCOMING	MIFFLIN	41.338206	-77.216494	2015-10-01	26	0					0	2017-12-01		0		0	0	2017-12-01		
081-21265	ANADARKO E&P ONSHORE LLC	LYCOMING	MIFFLIN	41.338206	-77.216494	2015-10-01	38	0					0	2018-12-01		0		0	0	2018-12-01		
081-21265	ANADARKO E&P ONSHORE LLC	LYCOMING	MIFFLIN	41.338206	-77.216494	2015-10-01	50	0					0	2019-12-01		0		0	0	2019-12-01		
027-21530	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.07472	-77.801096	2010-05-01	79	7	0	6146.275019	1678525.075	0	6146.275019	2016-12-01	6146.275019	6146.275019	6146.275019	6146.275019	0	2016-12-01	6146.275019	
027-21530	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.07472	-77.801096	2010-05-01	91	7	0	4546.980022	1741407.033	0	4546.980022	2017-12-01	4546.980022	4546.980022	4546.980022	4546.980022	0	2017-12-01	4546.980022	
027-21530	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.07472	-77.801096	2010-05-01	103	7	0	3363.830492	1787926.755	0	3363.830492	2018-12-01	3363.830492	3363.830492	3363.830492	3363.830492	0	2018-12-01	3363.830492	
027-21530	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.07472	-77.801096	2010-05-01	115	7	0	2488.54306	1822341.786	0	2488.54306	2019-12-01	2488.54306	2488.54306	2488.54306	2488.54306	0	2019-12-01	2488.54306	
027-21533	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074587	-77.801227	2010-09-01	75	62	0	48123.3135	2636213.622	0	48123.3135	2016-12-01	48123.3135	48123.3135	48123.3135	48123.3135	0	2016-12-01	48123.3135	
027-21533	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074587	-77.801227	2010-09-01	87	62	0	35601.35926	3128558.687	0	35601.35926	2017-12-01	35601.35926	35601.35926	35601.35926	35601.35926	0	2017-12-01	35601.35926	
027-21533	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074587	-77.801227	2010-09-01	99	62	0	26337.68727	3492792.823	0	26337.68727	2018-12-01	26337.68727	26337.68727	26337.68727	26337.68727	0	2018-12-01	26337.68727	
027-21533	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074587	-77.801227	2010-09-01	111	62	0	19484.47433	3762251.208	0	19484.47433	2019-12-01	19484.47433	19484.47433	19484.47433	19484.47433	0	2019-12-01	19484.47433	
027-21534	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074553	-77.801257	2010-09-01	75	60	0	315.6070187	1769284.322	0	315.6070187	2016-12-01	315.6070187	315.6070187	315.6070187	315.6070187	0	2016-12-01	315.6070187	
027-21534	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074553	-77.801257	2010-09-01	87	60	0	233.4843144	1772513.268	0	233.4843144	2017-12-01	233.4843144	233.4843144	233.4843144	233.4843144	0	2017-12-01	233.4843144	
027-21534	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074553	-77.801257	2010-09-01	99	60	0	172.7303952	1774902.024	0	172.7303952	2018-12-01	172.7303952	172.7303952	172.7303952	172.7303952	0	2018-12-01	172.7303952	
027-21534	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074553	-77.801257	2010-09-01	111	60	0	127.7849842	1776669.212	0	127.7849842	2019-12-01	127.7849842	127.7849842	127.7849842	127.7849842	0	2019-12-01	127.7849842	
027-21548	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074653	-77.80116	2010-12-01	72	59	0	37775.61793	2137150.052	0	37775.61793	2016-12-01	37775.61793	37775.61793	37775.61793	37775.61793	0	2016-12-01	37775.61793	
027-21548	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074653	-77.80116	2010-12-01	84	59	0	27946.19172	2523628.822	0	27946.19172	2017-12-01	27946.19172	27946.19172	27946.19172	27946.19172	0	2017-12-01	27946.19172	
027-21548	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074653	-77.80116	2010-12-01	96	59	0	20674.43696	2809543.664	0	20674.43696	2018-12-01	20674.43696	20674.43696	20674.43696	20674.43696	0	2018-12-01	20674.43696	
027-21548	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.074653	-77.80116	2010-12-01	108	59	0	15294.8333	3021061.871	0	15294.8333	2019-12-01	15294.8333	15294.8333	15294.8333	15294.8333	0	2019-12-01	15294.8333	
027-21550	ANADARKO E&P ONSHORE LLC	CENTRE	CURTIN	41.106225	-77.772556	2014-07-01	29	16	0	20285.14476	640416.2731	0	20285.14476	2016-12-01	20285.14476	20285.14476	20285.14476	20285.14476	0	2016-12-01	20285.14476	
027-21550	ANADARKO E&P ONSHORE LLC	CENTRE	CURTIN	41.106225	-77.772556	2014-07-01	41	16	0	14590.15667	843355.0572	0	14590.15667	2017-12-01	14590.15667	14590.15667	14590.15667	14590.15667	0	2017-12-01	14590.15667	
027-21550	ANADARKO E&P ONSHORE LLC	CENTRE	CURTIN	41.106225	-77.772556	2014-07-01	53	16	0	10793.71663	992625.5687	0	10793.71663	2018-12-01	10793.71663	10793.71663	10793.71663	10793.71663	0	2018-12-01	10793.71663	
027-21550	ANADARKO E&P ONSHORE LLC	CENTRE	CURTIN	41.106225	-77.772556	2014-07-01	65	16	0	7985.131437	1103055.062	0	7985.131437	2019-12-01	7985.131437	7985.131437	7985.131437	7985.131437	0	2019-12-01	7985.131437	
027-21589	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.059742	-77.826728	2010-12-01	72	59	0	27769.88761	1984380.895	0	27769.88761	2016-12-01	27769.88761	27769.88761	27769.88761	27769.88761	0	2016-12-01	27769.88761	
027-21589	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.059742	-77.826728	2010-12-01	84	59	0	20544.00817	2268491.987	0	20544.00817	2017-12-01	20544.00817	20544.00817	20544.00817	20544.00817	0	2017-12-01	20544.00817	
027-21589	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.059742	-77.826728	2010-12-01	96	59	0	15198.3428	2478675.789	0	15198.3428	2018-12-01	15198.3428	15198.3428	15198.3428	15198.3428	0	2018-12-01	15198.3428	
027-21589	ANADARKO E&P ONSHORE LLC	CENTRE	SNOW SHOE	41.059742	-77.826728	2010-12-01	108	59	0	11243.64935	2634168.596	0	11243.64935	2019-12-01	11243.64935	11243.64935	11243.64935	11243.64935	0	2019-12-01	11243.64935	
035-21155	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369227	-77.559437	2010-01-01	83	70	0	12710.43022	2552905.52	0	12710.43022	2016-12-01	12710.43022	12710.43022	12710.43022	12710.43022	0	2016-12-01	12710.43022	
035-21155	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369227	-77.559437	2010-01-01	95	70	0	9403.105474	2682944.728	0	9403.105474	2017-12-01	9403.105474	9403.105474	9403.105474	9403.105474	0	2017-12-01	9403.105474	
035-21155	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369227	-77.559437	2010-01-01	107	70	0	6956.365051	2779147.01	0	6956.365051	2018-12-01	6956.365051	6956.365051	6956.365051	6956.365051	0	2018-12-01	6956.365051	
035-21155	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369227	-77.559437	2010-01-01	119	70	0	5146.280115	2850316.923	0	5146.280115	2019-12-01	5146.280115	5146.280115	5146.280115	5146.280115	0	2019-12-01	5146.280115	
035-21156	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369366	-77.559437	2010-04-01	80	67	0	4304.145004	938891.7262	0	4304.145004	2016-12-01	4304.145004	4304.145004	4304.145004	4304.145004	0	2016-12-01	4304.145004	
035-21156	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369366	-77.559437	2010-04-01	92	67	0	3184.182498	982927.0262	0	3184.182498	2017-12-01	3184.182498	3184.182498	3184.182498	3184.182498	0	2017-12-01	3184.182498	
035-21156	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369366	-77.559437	2010-04-01	104	67	0	2355.640475	1015504.096	0	2355.640475	2018-12-01	2355.640475	2355.640475	2355.640475	2355.640475	0	2018-12-01	2355.640475	
035-21156	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369366	-77.559437	2010-04-01	116	67	0	1742.689702	1039604.431	0	1742.689702	2019-12-01	1742.689702	1742.689702	1742.689702	1742.689702	0	2019-12-01	1742.689702	
035-21162	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.19671	-77.682992	2010-05-01	79	59	0	1894.070321	470780.961	0	1894.070321	2016-12-01	1894.070321	1894.070321	1894.070321	1894.070321	0	2016-12-01	1894.070321	
035-21162	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.19671	-77.682992	2010-05-01	91	59	0	1401.222673	490159.0151	0	1401.222673	2017-12-01	1401.222673	1401.222673	1401.222673	1401.222673	0	2017-12-01	1401.222673	
035-21162	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.19671	-77.682992	2010-05-01	103	59	0	1036.616728	504494.7916	0	1036.616728	2018-12-01	1036.616728	1036.616728	1036.616728	1036.616728	0	2018-12-01	1036.616728	
035-21162	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.19671	-77.682992	2010-05-01	115	59	0	766.8832812	515100.3192	0	766.8832812	2019-12-01	766.8832812	766.8832812	766.8832812	766.8832812	0	2019-12-01	766.8832812	
035-21168	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.192832	-77.591728	2010-12-01	72	59	0	22063.27287	1951919.627	0	22063.27287	2016-12-01	22063.27287	22063.27287	22063.27287	22063.27287	0	2016-12-01	22063.27287	
035-21168	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.192832	-77.591728	2010-12-01	84	59	0	16322.28637	2177646.883	0	16322.28637	2017-12-01	16322.28637	16322.28637	16322.28637	16322.28637	0	2017-12-01	16322.28637	
035-21168	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.192832	-77.591728	2010-12-01	96	59	0	12075.13654	2344638.65	0	12075.13654	2018-12-01	12075.13654	12075.13654	12075.13654	12075.13654	0	2018-12-01	12075.13654	
035-21168	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.192832	-77.591728	2010-12-01	108	59	0	8933.118746	2468178.229	0	8933.118746	2019-12-01	8933.118746	8933.118746	8933.118746	8933.118746	0	2019-12-01	8933.118746	
035-21174	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.196696	-77.683025	2010-09-01	75	55	0	11968.34595	2486481.261	0	11968.34595	2016-12-01	11968.34595	11968.34595	11968.34595	11968.34595	0	2016-12-01	11968.34595	
035-21174	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.196696	-77.683025	2010-09-01	87	55	0	8854.115664	2608928.276	0	8854.115664	2017-12-01	8854.115664	8854.115664	8854.115664	8854.115664	0	2017-12-01	8854.115664	
035-21174	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.196696	-77.683025	2010-09-01	99	55	0	6550.225448	2699513.895	0	6550.225448	2018-12-01	6550.225448	6550.225448	6550.225448	6550.225448	0	2018-12-01	6550.225448	
035-21174	ANADARKO E&P ONSHORE LLC	CLINTON	BEECH CREEK	41.196696	-77.683025	2010-09-01	111	55	0	4845.820299	2766528.631	0	4845.820299	2019-12-01	4845.820299	4845.820299	4845.820299	4845.820299	0	2019-12-01	4845.820299	
035-21178	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.232999	-77.7577	2011-02-01	70	57	0	1318.081281	190810.9453	0	1318.081281	2016-12-01	1318.081281	1318.081281	1318.081281	1318.081281	0	2016-12-01	1318.081281	
035-21178	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.232999	-77.7577	2011-02-01	82	57	0	975.1091895	204296.1101	0	975.1091895	2017-12-01	975.1091895	975.1091895	975.1091895	975.1091895	0	2017-12-01	975.1091895	
035-21178	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.232999	-77.7577	2011-02-01	94	57	0	721.3803467	214272.3599	0	721.3803467	2018-12-01	721.3803467	721.3803467	721.3803467	721.3803467	0	2018-12-01	721.3803467	
035-21178	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.232999	-77.7577	2011-02-01	106	57	0	533.6731621	221652.7339	0	533.6731621	2019-12-01	533.6731621	533.6731621	533.6731621	533.6731621	0	2019-12-01	533.6731621	
035-21180	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.233163	-77.757691	2010-08-01	76	63	0	3992.480465	617131.3105	0	3992.480465	2016-12-01	3992.480465	3992.480465	3992.480465	3992.480465	0	2016-12-01	3992.480465	
035-21180	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.233163	-77.757691	2010-08-01	88	63	0	2953.614808	657978.0002	0	2953.614808	2017-12-01	2953.614808	2953.614808	2953.614808	2953.614808	0	2017-12-01	2953.614808	
035-21180	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.233163	-77.757691	2010-08-01	100	63	0	2185.067782	688196.1537	0	2185.067782	2018-12-01	2185.067782	2185.067782	2185.067782	2185.067782	0	2018-12-01	2185.067782	
035-21180	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.233163	-77.757691	2010-08-01	112	63	0	1616.500974	710551.3753	0	1616.500974	2019-12-01	1616.500974	1616.500974	1616.500974	1616.500974	0	2019-12-01	1616.500974	
035-21181	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371355	-77.56584	2010-12-01	72	59	0	26161.06372	2953858.153	0	26161.06372	2016-12-01	26161.06372	26161.06372	26161.06372	26161.06372	0	2016-12-01	26161.06372	
035-21181	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371355	-77.56584	2010-12-01	84	59	0	19353.80921	3221509.519	0	19353.80921	2017-12-01	19353.80921	19353.80921	19353.80921	19353.80921	0	2017-12-01	19353.80921	
035-21181	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371355	-77.56584	2010-12-01	96	59	0	14317.84025	3419516.509	0	14317.84025	2018-12-01	14317.84025	14317.84025	14317.84025	14317.84025	0	2018-12-01	14317.84025	
035-21181	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371355	-77.56584	2010-12-01	108	59	0	10592.25846	3566000.977	0	10592.25846	2019-12-01	10592.25846	10592.25846	10592.25846	10592.25846	0	2019-12-01	10592.25846	
035-21182	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369347	-77.559458	2011-05-01	67	54	0	28459.58969	3826284.343	0	28459.58969	2016-12-01	28459.58969	28459.58969	28459.58969	28459.58969	0	2016-12-01	28459.58969	
035-21182	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369347	-77.559458	2011-05-01	79	54	0	21054.24593	4117451.711	0	21054.24593	2017-12-01	21054.24593	21054.24593	21054.24593	21054.24593	0	2017-12-01	21054.24593	
035-21182	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369347	-77.559458	2011-05-01	91	54	0	15575.81386	4332855.708	0	15575.81386	2018-12-01	15575.81386	15575.81386	15575.81386	15575.81386	0	2018-12-01	15575.81386	
035-21182	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.369347	-77.559458	2011-05-01	103	54	0	11522.90033	4492210.385	0	11522.90033	2019-12-01	11522.90033	11522.90033	11522.90033	11522.90033	0	2019-12-01	11522.90033	
035-21184	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371366	-77.565951	2010-12-01	72	59	0	32188.74248	3118491.045	0	32188.74248	2016-12-01	32188.74248	32188.74248	32188.74248	32188.74248	0	2016-12-01	32188.74248	
035-21184	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371366	-77.565951	2010-12-01	84	59	0	23813.05238	3447811.022	0	23813.05238	2017-12-01	23813.05238	23813.05238	23813.05238	23813.05238	0	2017-12-01	23813.05238	
035-21184	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371366	-77.565951	2010-12-01	96	59	0	17616.76351	3691440.107	0	17616.76351	2018-12-01	17616.76351	17616.76351	17616.76351	17616.76351	0	2018-12-01	17616.76351	
035-21184	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371366	-77.565951	2010-12-01	108	59	0	13032.78351	3871675.546	0	13032.78351	2019-12-01	13032.78351	13032.78351	13032.78351	13032.78351	0	2019-12-01	13032.78351	
035-21185	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371361	-77.565896	2011-01-01	71	58	0	23987.34784	3627044.719	0	23987.34784	2016-12-01	23987.34784	23987.34784	23987.34784	23987.34784	0	2016-12-01	23987.34784	
035-21185	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371361	-77.565896	2011-01-01	83	58	0	17745.70632	3872457.004	0	17745.70632	2017-12-01	17745.70632	17745.70632	17745.70632	17745.70632	0	2017-12-01	17745.70632	
035-21185	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371361	-77.565896	2011-01-01	95	58	0	13128.17468	4054011.645	0	13128.17468	2018-12-01	13128.17468	13128.17468	13128.17468	13128.17468	0	2018-12-01	13128.17468	
035-21185	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371361	-77.565896	2011-01-01	107	58	0	9712.150502	4188324.757	0	9712.150502	2019-12-01	9712.150502	9712.150502	9712.150502	9712.150502	0	2019-12-01	9712.150502	
035-21186	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371352	-77.565787	2010-12-01	72	59	0	21473.1096	3504098.776	0	21473.1096	2016-12-01	21473.1096	21473.1096	21473.1096	21473.1096	0	2016-12-01	21473.1096	
035-21186	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371352	-77.565787	2010-12-01	84	59	0	15885.68687	3723788.127	0	15885.68687	2017-12-01	15885.68687	15885.68687	15885.68687	15885.68687	0	2017-12-01	15885.68687	
035-21186	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371352	-77.565787	2010-12-01	96	59	0	11752.14266	3886313.086	0	11752.14266	2018-12-01	11752.14266	11752.14266	11752.14266	11752.14266	0	2018-12-01	11752.14266	
035-21186	ANADARKO E&P ONSHORE LLC	CLINTON	GRUGAN	41.371352	-77.565787	2010-12-01	108	59	0	8694.169675	4006548.145	0	8694.169675	2019-12-01	8694.169675	8694.169675	8694.169675	8694.169675	0	2019-12-01	8694.169675	
035-21194	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284092	-77.712478	2010-11-01	73	58	0	148.8841806	1729586.215	0	148.8841806	2016-12-01	148.8841806	148.8841806	148.8841806	148.8841806	0	2016-12-01	148.8841806	
035-21194	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284092	-77.712478	2010-11-01	85	58	0	110.1436874	1731109.435	0	110.1436874	2017-12-01	110.1436874	110.1436874	110.1436874	110.1436874	0	2017-12-01	110.1436874	
035-21194	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284092	-77.712478	2010-11-01	97	58	0	81.48368643	1732236.305	0	81.48368643	2018-12-01	81.48368643	81.48368643	81.48368643	81.48368643	0	2018-12-01	81.48368643	
035-21194	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284092	-77.712478	2010-11-01	109	58	0	60.28117733	1733069.957	0	60.28117733	2019-12-01	60.28117733	60.28117733	60.28117733	60.28117733	0	2019-12-01	60.28117733	
035-21195	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284058	-77.712508	2010-11-01	73	58	0	85.76277683	1152966.751	0	85.76277683	2016-12-01	85.76277683	85.76277683	85.76277683	85.76277683	0	2016-12-01	85.76277683	
035-21195	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284058	-77.712508	2010-11-01	85	58	0	63.44682457	1153844.182	0	63.44682457	2017-12-01	63.44682457	63.44682457	63.44682457	63.44682457	0	2017-12-01	63.44682457	
035-21195	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284058	-77.712508	2010-11-01	97	58	0	46.93760739	1154493.3	0	46.93760739	2018-12-01	46.93760739	46.93760739	46.93760739	46.93760739	0	2018-12-01	46.93760739	
035-21195	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284058	-77.712508	2010-11-01	109	58	0	34.72418049	1154973.514	0	34.72418049	2019-12-01	34.72418049	34.72418049	34.72418049	34.72418049	0	2019-12-01	34.72418049	
035-21196	ANADARKO E&P ONSHORE LLC	CLINTON	NOYES	41.284158	-77.712414	2010-11-01	73	58	0	148.8841806	1607783.215	0	148.8841806	2016-12-01	148.8841806	148.8841806	148.8841806	148.8841806	0	2016-12-01	148.8841806	
